TradeId,Term,TradeValue,Currency
1001,3306,649170,JYP
1002,3731,126786,GBP
1003,3791,44470,JYP
1004,1370,118821,GBP
1005,5707,923165,JYP
1006,1950,117206,USD
1007,677,337459,JYP
1008,2254,473439,USD
1009,1512,585592,CAD
1010,3540,585560,EUR
1011,331,883728,GBP
1012,3303,986252,JYP
1013,683,496641,JYP
1014,989,899002,EUR
1015,2568,601573,GBP
1016,885,422900,USD
1017,2114,230899,CAD
1018,2779,844903,USD
1019,4009,66267,EUR
1020,5402,107833,USD
1021,3888,802975,CAD
1022,4962,572988,JYP
1023,4061,713342,USD
1024,4614,461464,USD
1025,4661,954935,JYP
1026,1641,56764,GBP
1027,50,419961,GBP
1028,5225,32779,GBP
1029,3261,914892,JYP
1030,2774,23493,JYP
1031,875,288364,GBP
1032,4050,145683,JYP
1033,1357,83429,GBP
1034,1946,548122,GBP
